Student_ID,Session_ID,Quiz_1_Marks,Quiz_2_Marks,Quiz_3_Marks,Quiz_4_Marks,Quiz_5_Marks,speach,Time_Spent_on_speach,Cumulative_Average_Quiz_Score,Recent_Quiz_Trend,Score
100,209,80,100,60,0,80,The Impact of Globalization on Local Cultures,4 min,64.0,Improving,64
91,430,40,100,0,40,0,The Role of Renewable Energy in Combating Climate Change,2 min,36.0,Declining,44
70,53,20,40,20,20,80,The Challenges and Benefits of Urbanization,4 min,36.0,Improving,35
25,287,60,40,100,0,60,The Impact of Technology on Education,3 min,52.0,Improving,58
6,86,80,100,0,100,80,The Challenges and Benefits of Urbanization,1 min,72.0,Declining,67
91,100,60,60,0,80,60,The Role of Renewable Energy in Combating Climate Change,3 min,52.0,Declining,53
84,238,20,40,100,100,60,The Impact of Technology on Education,2 min,64.0,Declining,57
56,361,0,100,60,80,80,The Impact of Globalization on Local Cultures,5 min,64.0,Stable,58
57,131,0,80,0,100,80,The Impact of Technology on Education,4 min,52.0,Declining,58
10,14,0,80,20,60,40,The Importance of Exercise,5 min,40.0,Declining,30
3,199,100,80,100,40,0,The Importance of Exercise,2 min,64.0,Declining,63
68,262,60,60,20,60,0,The Impact of Technology on Education,1 min,40.0,Declining,47
59,239,20,0,60,60,80,The Impact of Technology on Education,5 min,44.0,Improving,43
79,225,100,40,20,60,100,The Challenges and Benefits of Urbanization,5 min,64.0,Improving,70
14,151,80,20,60,100,100,The Challenges and Benefits of Urbanization,1 min,72.0,Stable,62
84,284,60,80,100,40,40,The Role of Renewable Energy in Combating Climate Change,1 min,64.0,Stable,70
68,158,40,80,20,60,0,The Role of Renewable Energy in Combating Climate Change,4 min,40.0,Declining,44
92,44,80,40,60,60,20,The Importance of Exercise,2 min,52.0,Declining,48
92,331,0,40,80,100,0,The Impact of Technology on Education,5 min,44.0,Declining,48
72,67,100,40,20,100,60,The Challenges and Benefits of Urbanization,2 min,64.0,Declining,73
73,195,60,100,0,80,0,The Impact of Globalization on Local Cultures,5 min,48.0,Declining,53
95,210,40,20,60,40,0,The Importance of Exercise,3 min,32.0,Declining,32
80,346,20,0,100,20,60,The Role of Renewable Energy in Combating Climate Change,5 min,40.0,Improving,33
30,263,100,80,20,40,20,The Role of Renewable Energy in Combating Climate Change,4 min,52.0,Declining,59
76,329,60,80,20,60,80,The Role of Renewable Energy in Combating Climate Change,1 min,60.0,Improving,50
68,157,20,100,100,100,0,The Challenges and Benefits of Urbanization,3 min,64.0,Declining,54
73,400,0,100,20,0,80,The Impact of Technology on Education,3 min,40.0,Improving,31
26,214,20,60,40,60,0,The Impact of Technology on Education,3 min,36.0,Declining,32
70,439,0,80,100,60,100,The Role of Renewable Energy in Combating Climate Change,2 min,68.0,Improving,62
75,196,80,0,40,100,60,The Impact of Globalization on Local Cultures,3 min,56.0,Declining,65
91,465,100,60,40,80,40,The Impact of Technology on Education,1 min,64.0,Declining,66
52,54,80,100,80,0,80,The Role of Renewable Energy in Combating Climate Change,4 min,68.0,Improving,75
11,369,0,80,40,40,60,The Challenges and Benefits of Urbanization,1 min,44.0,Improving,38
57,136,20,100,60,80,40,The Challenges and Benefits of Urbanization,5 min,60.0,Declining,66
33,195,20,100,80,0,20,The Importance of Exercise,3 min,44.0,Improving,49
30,453,0,100,100,0,80,The Challenges and Benefits of Urbanization,1 min,56.0,Improving,61
38,450,80,100,60,60,40,The Role of Renewable Energy in Combating Climate Change,3 min,68.0,Declining,67
52,429,100,80,40,40,20,The Role of Renewable Energy in Combating Climate Change,3 min,56.0,Declining,48
29,381,40,60,40,100,100,The Challenges and Benefits of Urbanization,2 min,68.0,Stable,69
13,181,40,80,40,60,60,The Importance of Exercise,3 min,56.0,Stable,60
33,116,0,100,100,60,40,The Challenges and Benefits of Urbanization,2 min,60.0,Declining,54
50,14,0,80,60,60,100,The Impact of Technology on Education,4 min,60.0,Improving,65
13,226,20,40,0,20,60,The Importance of Exercise,5 min,28.0,Improving,31
88,176,100,40,20,100,80,The Impact of Technology on Education,3 min,68.0,Declining,59
91,497,40,80,40,100,60,The Impact of Technology on Education,1 min,64.0,Declining,65
85,9,20,100,60,60,80,The Impact of Technology on Education,3 min,64.0,Improving,72
99,12,60,100,60,100,40,The Challenges and Benefits of Urbanization,1 min,72.0,Declining,79
95,437,20,100,0,40,60,The Impact of Globalization on Local Cultures,5 min,44.0,Improving,46
3,167,20,60,0,60,80,The Impact of Technology on Education,2 min,44.0,Improving,48
25,24,0,80,100,80,20,The Challenges and Benefits of Urbanization,3 min,56.0,Declining,55
67,251,0,20,60,0,60,The Role of Renewable Energy in Combating Climate Change,3 min,28.0,Improving,28
54,410,20,100,0,60,100,The Challenges and Benefits of Urbanization,1 min,56.0,Improving,64
11,262,100,0,20,0,0,The Impact of Technology on Education,5 min,24.0,Stable,20
91,186,100,40,100,80,20,The Challenges and Benefits of Urbanization,4 min,68.0,Declining,62
81,498,40,80,100,0,100,The Impact of Globalization on Local Cultures,2 min,64.0,Improving,64
9,329,100,100,20,80,20,The Importance of Exercise,1 min,64.0,Declining,56
87,410,100,20,20,20,20,The Challenges and Benefits of Urbanization,1 min,36.0,Stable,39
40,310,100,80,20,0,0,The Importance of Exercise,1 min,40.0,Stable,46
8,423,100,60,20,100,80,The Role of Renewable Energy in Combating Climate Change,1 min,72.0,Declining,80
66,396,60,0,40,100,40,The Challenges and Benefits of Urbanization,2 min,48.0,Declining,45
81,59,20,20,100,100,100,The Challenges and Benefits of Urbanization,1 min,68.0,Stable,70
82,481,20,20,100,60,40,The Role of Renewable Energy in Combating Climate Change,3 min,48.0,Declining,38
46,249,0,60,80,100,80,The Importance of Exercise,1 min,64.0,Declining,60
75,178,20,20,0,80,60,The Impact of Technology on Education,1 min,36.0,Declining,37
30,164,20,0,100,100,40,The Impact of Technology on Education,1 min,52.0,Declining,43
35,332,100,0,40,40,20,The Challenges and Benefits of Urbanization,3 min,40.0,Declining,43
8,169,100,60,80,80,60,The Importance of Exercise,2 min,76.0,Declining,86
33,99,60,80,40,20,60,The Role of Renewable Energy in Combating Climate Change,2 min,52.0,Improving,51
7,299,80,60,100,20,100,The Impact of Globalization on Local Cultures,4 min,72.0,Improving,81
53,173,0,40,0,100,0,The Role of Renewable Energy in Combating Climate Change,1 min,28.0,Declining,29
83,234,60,40,40,80,20,The Impact of Globalization on Local Cultures,2 min,48.0,Declining,58
29,112,100,20,0,40,60,The Impact of Technology on Education,4 min,44.0,Improving,52
53,130,80,80,40,40,60,The Challenges and Benefits of Urbanization,4 min,60.0,Improving,60
27,46,0,0,100,80,40,The Importance of Exercise,1 min,44.0,Declining,52
60,96,100,80,80,40,80,The Challenges and Benefits of Urbanization,2 min,76.0,Improving,80
79,347,80,20,40,60,20,The Impact of Technology on Education,5 min,44.0,Declining,40
92,31,20,40,20,100,0,The Impact of Technology on Education,3 min,36.0,Declining,35
55,65,20,0,80,80,100,The Impact of Technology on Education,2 min,56.0,Improving,52
82,490,80,100,80,20,0,The Impact of Globalization on Local Cultures,4 min,56.0,Declining,60
58,374,20,80,0,100,20,The Impact of Globalization on Local Cultures,4 min,44.0,Declining,37
69,292,0,0,100,0,80,The Role of Renewable Energy in Combating Climate Change,2 min,36.0,Improving,27
14,105,80,0,20,80,100,The Importance of Exercise,5 min,56.0,Improving,61
37,153,100,20,60,60,0,The Role of Renewable Energy in Combating Climate Change,3 min,48.0,Declining,46
19,4,0,100,60,0,80,The Impact of Globalization on Local Cultures,3 min,48.0,Improving,58
46,238,20,100,0,60,100,The Impact of Technology on Education,2 min,56.0,Improving,49
42,444,80,0,60,20,60,The Importance of Exercise,3 min,44.0,Improving,53
82,214,60,100,40,40,0,The Impact of Globalization on Local Cultures,5 min,48.0,Declining,38
6,145,0,80,80,40,60,The Impact of Globalization on Local Cultures,1 min,52.0,Improving,46
73,161,60,20,60,40,40,The Role of Renewable Energy in Combating Climate Change,4 min,44.0,Stable,44
92,201,100,80,40,20,20,The Impact of Technology on Education,1 min,52.0,Stable,52
30,229,80,60,80,60,0,The Impact of Globalization on Local Cultures,2 min,56.0,Declining,58
74,266,100,20,0,60,60,The Challenges and Benefits of Urbanization,1 min,48.0,Stable,38
73,89,40,100,0,40,40,The Role of Renewable Energy in Combating Climate Change,4 min,44.0,Stable,45
89,462,20,100,40,60,0,The Importance of Exercise,4 min,44.0,Declining,48
80,247,0,0,40,60,80,The Role of Renewable Energy in Combating Climate Change,2 min,36.0,Improving,43
2,195,80,60,20,40,100,The Impact of Technology on Education,3 min,60.0,Improving,56
59,386,80,80,80,0,40,The Impact of Technology on Education,3 min,56.0,Improving,62
48,16,100,20,80,20,100,The Challenges and Benefits of Urbanization,1 min,64.0,Improving,71
63,186,60,80,0,0,0,The Impact of Globalization on Local Cultures,3 min,28.0,Stable,28
14,57,100,80,40,20,40,The Impact of Globalization on Local Cultures,5 min,56.0,Improving,59
36,2,40,20,60,20,40,The Importance of Exercise,1 min,36.0,Improving,35
52,415,60,40,0,0,0,The Challenges and Benefits of Urbanization,3 min,20.0,Stable,21
91,180,0,20,20,40,60,The Impact of Globalization on Local Cultures,2 min,28.0,Improving,20
35,54,20,60,100,80,40,The Importance of Exercise,1 min,60.0,Declining,59
64,97,0,60,0,40,60,The Impact of Globalization on Local Cultures,4 min,32.0,Improving,38
44,214,0,60,20,40,60,The Impact of Globalization on Local Cultures,4 min,36.0,Improving,33
87,468,80,100,60,40,100,The Role of Renewable Energy in Combating Climate Change,5 min,76.0,Improving,76
98,420,60,40,0,40,80,The Impact of Globalization on Local Cultures,5 min,44.0,Improving,50
94,6,20,80,60,0,0,The Importance of Exercise,3 min,32.0,Stable,23
99,339,40,100,100,60,60,The Importance of Exercise,5 min,72.0,Stable,77
41,356,40,60,0,20,20,The Role of Renewable Energy in Combating Climate Change,3 min,28.0,Stable,27
48,76,100,100,60,60,80,The Role of Renewable Energy in Combating Climate Change,3 min,80.0,Improving,78
60,475,80,40,60,100,80,The Role of Renewable Energy in Combating Climate Change,4 min,72.0,Declining,65
35,494,80,100,60,20,60,The Challenges and Benefits of Urbanization,5 min,64.0,Improving,68
6,103,80,40,0,60,20,The Importance of Exercise,5 min,40.0,Declining,32
5,448,80,80,60,80,60,The Importance of Exercise,2 min,72.0,Declining,73
80,51,0,60,20,20,0,The Challenges and Benefits of Urbanization,5 min,20.0,Declining,25
36,424,0,60,40,80,40,The Importance of Exercise,2 min,44.0,Declining,49
2,243,40,0,80,40,20,The Impact of Technology on Education,1 min,36.0,Declining,30
4,346,40,40,100,20,100,The Challenges and Benefits of Urbanization,1 min,60.0,Improving,56
73,131,80,40,20,80,40,The Impact of Globalization on Local Cultures,1 min,52.0,Declining,50
82,131,40,40,100,40,80,The Importance of Exercise,5 min,60.0,Improving,65
59,115,20,40,40,0,100,The Impact of Globalization on Local Cultures,3 min,40.0,Improving,44
82,463,100,80,80,0,100,The Challenges and Benefits of Urbanization,1 min,72.0,Improving,62
48,405,100,100,20,60,20,The Importance of Exercise,4 min,60.0,Declining,52
83,271,40,40,100,80,80,The Role of Renewable Energy in Combating Climate Change,2 min,68.0,Stable,76
89,255,40,40,20,40,0,The Impact of Technology on Education,3 min,28.0,Declining,35
37,135,60,60,60,80,80,The Impact of Globalization on Local Cultures,4 min,68.0,Stable,58
56,427,40,100,20,100,0,The Impact of Globalization on Local Cultures,3 min,52.0,Declining,42
10,212,100,20,0,60,60,The Challenges and Benefits of Urbanization,1 min,48.0,Stable,52
66,462,20,80,20,60,20,The Challenges and Benefits of Urbanization,3 min,40.0,Declining,46
7,456,40,80,80,80,100,The Impact of Technology on Education,2 min,76.0,Improving,81
90,244,0,60,0,80,0,The Role of Renewable Energy in Combating Climate Change,3 min,28.0,Declining,23
57,314,60,20,100,60,60,The Impact of Technology on Education,1 min,60.0,Stable,55
2,450,80,40,80,0,20,The Role of Renewable Energy in Combating Climate Change,3 min,44.0,Improving,50
56,249,0,40,40,80,20,The Impact of Globalization on Local Cultures,3 min,36.0,Declining,29
8,263,20,80,60,0,100,The Importance of Exercise,4 min,52.0,Improving,53
29,127,60,60,100,100,100,The Importance of Exercise,5 min,84.0,Stable,91
71,242,100,0,80,40,40,The Challenges and Benefits of Urbanization,4 min,52.0,Stable,52
70,482,80,60,100,20,0,The Impact of Technology on Education,1 min,52.0,Declining,56
43,37,20,20,80,20,60,The Impact of Globalization on Local Cultures,5 min,40.0,Improving,32
49,261,100,0,100,20,40,The Importance of Exercise,1 min,52.0,Improving,49
75,352,60,80,100,0,80,The Role of Renewable Energy in Combating Climate Change,4 min,64.0,Improving,60
36,87,0,20,0,60,80,The Importance of Exercise,5 min,32.0,Improving,35
43,33,100,80,20,0,60,The Challenges and Benefits of Urbanization,1 min,52.0,Improving,47
69,385,100,0,60,20,20,The Impact of Technology on Education,2 min,40.0,Stable,33
43,194,80,20,60,100,20,The Impact of Technology on Education,5 min,56.0,Declining,56
82,63,0,60,100,100,20,The Importance of Exercise,1 min,56.0,Declining,56
74,268,20,40,80,100,100,The Impact of Globalization on Local Cultures,2 min,68.0,Stable,77
82,378,20,80,20,100,60,The Impact of Technology on Education,1 min,56.0,Declining,49
42,315,80,40,20,40,80,The Challenges and Benefits of Urbanization,4 min,52.0,Improving,53
55,114,20,60,60,80,20,The Impact of Technology on Education,5 min,48.0,Declining,52
57,135,20,60,0,80,40,The Challenges and Benefits of Urbanization,5 min,40.0,Declining,49
80,150,80,40,100,80,0,The Role of Renewable Energy in Combating Climate Change,1 min,60.0,Declining,69
83,438,20,40,80,80,60,The Importance of Exercise,4 min,56.0,Declining,51
83,387,60,40,20,20,80,The Challenges and Benefits of Urbanization,1 min,44.0,Improving,37
98,114,100,40,0,20,60,The Role of Renewable Energy in Combating Climate Change,4 min,44.0,Improving,35
54,370,40,40,80,80,0,The Importance of Exercise,2 min,48.0,Declining,58
73,78,20,100,20,80,40,The Impact of Globalization on Local Cultures,2 min,52.0,Declining,60
77,170,20,100,20,20,60,The Challenges and Benefits of Urbanization,4 min,44.0,Improving,42
28,16,60,0,20,80,60,The Importance of Exercise,3 min,44.0,Declining,41
23,468,0,100,40,40,0,The Role of Renewable Energy in Combating Climate Change,2 min,36.0,Declining,26
9,229,20,40,20,60,40,The Impact of Globalization on Local Cultures,3 min,36.0,Declining,40
28,259,20,0,60,40,40,The Impact of Technology on Education,3 min,32.0,Stable,29
21,288,80,80,20,20,60,The Impact of Technology on Education,2 min,52.0,Improving,51
94,156,60,60,40,20,0,The Role of Renewable Energy in Combating Climate Change,3 min,36.0,Declining,34
4,4,80,100,0,20,80,The Role of Renewable Energy in Combating Climate Change,1 min,56.0,Improving,50
96,455,40,0,0,80,40,The Role of Renewable Energy in Combating Climate Change,3 min,32.0,Declining,34
37,123,100,80,40,60,60,The Impact of Technology on Education,4 min,68.0,Stable,59
58,166,100,60,80,100,100,The Role of Renewable Energy in Combating Climate Change,5 min,88.0,Stable,90
21,381,20,0,0,0,0,The Role of Renewable Energy in Combating Climate Change,4 min,4.0,Stable,20
98,250,0,0,100,80,60,The Role of Renewable Energy in Combating Climate Change,4 min,48.0,Declining,39
91,210,40,20,80,80,60,The Importance of Exercise,3 min,56.0,Declining,50
24,394,40,40,40,60,40,The Challenges and Benefits of Urbanization,5 min,44.0,Declining,53
84,456,60,0,40,100,20,The Role of Renewable Energy in Combating Climate Change,1 min,44.0,Declining,52
14,273,80,100,100,20,100,The Role of Renewable Energy in Combating Climate Change,5 min,80.0,Improving,85
54,101,80,0,60,100,100,The Impact of Globalization on Local Cultures,5 min,68.0,Stable,61
100,137,100,20,40,0,40,The Impact of Globalization on Local Cultures,3 min,40.0,Improving,40
59,461,20,100,0,0,40,The Importance of Exercise,3 min,32.0,Improving,32
43,216,60,100,20,80,0,The Role of Renewable Energy in Combating Climate Change,4 min,52.0,Declining,50
45,450,40,100,60,60,60,The Impact of Globalization on Local Cultures,2 min,64.0,Stable,73
48,268,80,40,60,80,60,The Importance of Exercise,5 min,64.0,Declining,68
26,37,60,100,20,60,40,The Challenges and Benefits of Urbanization,2 min,56.0,Declining,52
42,424,80,20,60,100,0,The Challenges and Benefits of Urbanization,5 min,52.0,Declining,48
82,191,40,20,80,60,60,The Challenges and Benefits of Urbanization,1 min,52.0,Stable,48
16,477,20,80,60,100,80,The Challenges and Benefits of Urbanization,2 min,68.0,Declining,73
73,387,40,40,60,20,0,The Impact of Technology on Education,2 min,32.0,Declining,41
93,115,0,80,60,60,80,The Role of Renewable Energy in Combating Climate Change,5 min,56.0,Improving,50
4,97,60,60,100,0,80,The Role of Renewable Energy in Combating Climate Change,4 min,60.0,Improving,66
39,464,40,0,60,0,0,The Impact of Technology on Education,1 min,20.0,Stable,20
23,472,20,60,20,100,100,The Impact of Technology on Education,3 min,60.0,Stable,61
52,412,0,20,40,80,80,The Impact of Technology on Education,3 min,44.0,Stable,40
30,149,80,100,0,20,100,The Importance of Exercise,3 min,60.0,Improving,56
61,200,80,60,0,40,40,The Challenges and Benefits of Urbanization,5 min,44.0,Stable,39
8,373,60,80,60,40,20,The Impact of Technology on Education,1 min,52.0,Declining,58
30,369,80,0,60,0,100,The Impact of Globalization on Local Cultures,5 min,48.0,Improving,58
72,205,20,80,80,100,20,The Impact of Globalization on Local Cultures,5 min,60.0,Declining,54
47,302,0,20,20,0,60,The Importance of Exercise,2 min,20.0,Improving,20
36,287,80,60,20,40,60,The Importance of Exercise,5 min,52.0,Improving,49
45,471,100,60,0,60,60,The Importance of Exercise,4 min,56.0,Stable,49
41,278,40,40,20,80,60,The Importance of Exercise,5 min,48.0,Declining,58
85,485,0,0,0,40,100,The Challenges and Benefits of Urbanization,4 min,28.0,Improving,20
2,88,80,40,0,20,20,The Importance of Exercise,5 min,32.0,Stable,36
91,59,100,100,0,80,40,The Impact of Globalization on Local Cultures,3 min,64.0,Declining,64
81,452,40,0,40,40,80,The Impact of Globalization on Local Cultures,4 min,40.0,Improving,37
66,401,60,40,80,100,100,The Challenges and Benefits of Urbanization,4 min,76.0,Stable,68
86,132,0,60,80,0,40,The Impact of Globalization on Local Cultures,4 min,36.0,Improving,37
59,203,100,80,100,0,40,The Challenges and Benefits of Urbanization,4 min,64.0,Improving,59
3,431,60,20,100,0,40,The Importance of Exercise,2 min,44.0,Improving,40
33,198,0,0,100,40,20,The Impact of Globalization on Local Cultures,5 min,32.0,Declining,23
6,160,100,20,20,80,80,The Impact of Globalization on Local Cultures,3 min,60.0,Stable,65
64,357,40,60,80,100,100,The Impact of Technology on Education,2 min,76.0,Stable,82
27,27,80,100,40,20,60,The Impact of Technology on Education,3 min,60.0,Improving,64
88,369,80,40,100,80,100,The Role of Renewable Energy in Combating Climate Change,2 min,80.0,Improving,83
54,303,20,40,20,100,40,The Role of Renewable Energy in Combating Climate Change,1 min,44.0,Declining,34
33,223,20,40,0,20,100,The Challenges and Benefits of Urbanization,3 min,36.0,Improving,43
29,131,20,100,20,20,40,The Importance of Exercise,5 min,40.0,Improving,36
95,27,60,100,20,60,60,The Impact of Globalization on Local Cultures,4 min,60.0,Stable,55
41,429,0,80,20,20,0,The Challenges and Benefits of Urbanization,3 min,24.0,Declining,24
58,323,20,100,40,20,60,The Challenges and Benefits of Urbanization,5 min,48.0,Improving,49
13,248,80,100,60,40,80,The Impact of Globalization on Local Cultures,3 min,72.0,Improving,64
72,238,20,40,40,20,20,The Role of Renewable Energy in Combating Climate Change,5 min,28.0,Stable,23
58,174,60,60,80,20,20,The Impact of Technology on Education,5 min,48.0,Stable,57
4,41,100,20,40,80,60,The Impact of Technology on Education,5 min,60.0,Declining,53
37,358,100,60,20,100,60,The Challenges and Benefits of Urbanization,1 min,68.0,Declining,69
16,490,0,40,60,80,20,The Role of Renewable Energy in Combating Climate Change,4 min,40.0,Declining,50
38,416,0,60,40,80,40,The Challenges and Benefits of Urbanization,2 min,44.0,Declining,41
11,469,20,60,40,0,20,The Importance of Exercise,5 min,28.0,Improving,23
80,427,40,20,60,100,20,The Challenges and Benefits of Urbanization,5 min,48.0,Declining,41
61,146,20,100,80,40,40,The Impact of Technology on Education,3 min,56.0,Stable,53
21,28,40,80,20,100,0,The Impact of Technology on Education,3 min,48.0,Declining,39
18,232,0,60,60,40,80,The Role of Renewable Energy in Combating Climate Change,4 min,48.0,Improving,55
61,264,80,100,20,40,100,The Challenges and Benefits of Urbanization,1 min,68.0,Improving,76
23,313,40,80,60,80,100,The Challenges and Benefits of Urbanization,5 min,72.0,Improving,75
58,431,40,100,20,60,60,The Importance of Exercise,1 min,56.0,Stable,49
70,333,20,0,100,40,40,The Impact of Globalization on Local Cultures,4 min,40.0,Stable,34
56,368,0,100,60,100,0,The Impact of Globalization on Local Cultures,5 min,52.0,Declining,57
63,111,0,40,0,80,60,The Importance of Exercise,5 min,36.0,Declining,40
93,226,80,20,80,60,20,The Challenges and Benefits of Urbanization,1 min,52.0,Declining,50
23,368,40,20,20,100,80,The Importance of Exercise,2 min,52.0,Declining,45
47,41,40,40,40,0,60,The Impact of Globalization on Local Cultures,5 min,36.0,Improving,28
84,225,0,100,80,100,100,The Role of Renewable Energy in Combating Climate Change,2 min,76.0,Stable,72
17,260,80,80,60,100,80,The Impact of Globalization on Local Cultures,5 min,80.0,Declining,78
28,327,40,0,20,40,100,The Impact of Technology on Education,3 min,40.0,Improving,38
42,165,80,0,80,100,100,The Impact of Technology on Education,5 min,72.0,Stable,77
54,337,80,60,0,20,80,The Challenges and Benefits of Urbanization,1 min,48.0,Improving,55
35,422,80,20,0,0,80,The Impact of Globalization on Local Cultures,4 min,36.0,Improving,42
3,238,40,20,0,0,20,The Impact of Technology on Education,2 min,16.0,Improving,20
47,337,80,40,60,20,20,The Importance of Exercise,4 min,44.0,Stable,47
11,423,60,20,40,100,80,The Role of Renewable Energy in Combating Climate Change,4 min,60.0,Declining,52
61,294,60,100,80,100,0,The Role of Renewable Energy in Combating Climate Change,4 min,68.0,Declining,60
66,249,20,0,60,20,80,The Impact of Globalization on Local Cultures,2 min,36.0,Improving,30
75,493,0,80,0,60,60,The Role of Renewable Energy in Combating Climate Change,3 min,40.0,Stable,41
52,257,0,60,60,80,80,The Challenges and Benefits of Urbanization,3 min,56.0,Stable,60
30,161,20,20,60,40,20,The Impact of Technology on Education,2 min,32.0,Declining,22
44,403,100,80,40,60,60,The Impact of Technology on Education,2 min,68.0,Stable,61
6,11,100,0,40,100,0,The Challenges and Benefits of Urbanization,1 min,48.0,Declining,41
20,66,20,60,20,60,60,The Importance of Exercise,1 min,44.0,Stable,35
41,93,20,60,100,100,100,The Impact of Technology on Education,5 min,76.0,Stable,73
58,33,20,20,80,60,20,The Importance of Exercise,2 min,40.0,Declining,50
78,151,20,100,80,0,100,The Challenges and Benefits of Urbanization,2 min,60.0,Improving,63
6,217,0,0,60,0,80,The Role of Renewable Energy in Combating Climate Change,5 min,28.0,Improving,28
89,168,80,60,20,100,0,The Importance of Exercise,2 min,52.0,Declining,44
11,436,0,80,40,40,100,The Impact of Globalization on Local Cultures,4 min,52.0,Improving,53
65,243,40,60,100,20,60,The Importance of Exercise,1 min,56.0,Improving,56
58,29,20,80,100,40,60,The Importance of Exercise,2 min,60.0,Improving,66
5,240,80,60,80,20,100,The Impact of Technology on Education,4 min,68.0,Improving,72
